EXP';COND';'STATUS';'DAY';'PAIR';'Control';'Percentage_time_spend_under_the_threshold';'MeanGlobal_XF';'MeanGlobal_XA';'MeanGlobal_XK';'MeanGlobal_XH';'MeanGlobal_XI';'MeanGlobal_YF';'MeanGlobal_YA';'MeanGlobal_YK';'MeanGlobal_YH';'MeanGlobal_YI';'MeanGlobal_ZF';'MeanGlobal_ZA';'MeanGlobal_ZK';'MeanGlobal_ZH';'MeanGlobal_ZI';'Angle_3D_Ankle';'Angle_3D_Knee';'Angle_3D_Hip';'AmpGlobal_XF';'AmpGlobal_XA';'AmpGlobal_XK';'AmpGlobal_XH';'AmpGlobal_XI';'AmpGlobal_YF';'AmpGlobal_YA';'AmpGlobal_YK';'AmpGlobal_YH';'AmpGlobal_YI';'AmpGlobal_ZF';'AmpGlobal_ZA';'AmpGlobal_ZK';'AmpGlobal_ZH';'AmpGlobal_ZI';'Speed_XF';'Speed_XA';'Speed_XK';'Speed_XH';'Speed_XC';'Speed_YF';'Speed_YA';'Speed_YK';'Speed_YH';'Speed_YC';'Speed_ZF';'Speed_ZA';'Speed_ZK';'Speed_ZH';'Speed_ZC';'AreaUnder_XF';'AreaUnder_XA';'AreaUnder_XK';'AreaUnder_XH';'AreaUnder_XC';'AreaUnder_YF';'AreaUnder_YA';'AreaUnder_YK';'AreaUnder_YH';'AreaUnder_YC';'AreaUnder_ZF';'AreaUnder_ZA';'AreaUnder_ZK';'AreaUnder_ZH';'AreaUnder_ZC';'AmpSpikes_XF';'AmpSpikes_XA';'AmpSpikes_XK';'AmpSpikes_XH';'AmpSpikes_XI';'AmpSpikes_YF';'AmpSpikes_YA';'AmpSpikes_YK';'AmpSpikes_YH';'AmpSpikes_YI';'AmpSpikes_ZF';'AmpSpikes_ZA';'AmpSpikes_ZK';'AmpSpikes_ZH';'AmpSpikes_ZI';'SpeedSpikes_XF';'SpeedSpikes_XA';'SpeedSpikes_XK';'SpeedSpikes_XH';'SpeedSpikes_XI';'SpeedSpikes_YF';'SpeedSpikes_YA';'SpeedSpikes_YK';'SpeedGlobal_YH';'SpeedSpikes_YI';'SpeedSpikes_ZF';'SpeedSpikes_ZA';'SpeedSpikes_ZK';'SpeedSpikes_ZH';'SpeedSpikes_ZI';'A_PXMF';'A_PXMA';'A_PXMK';'A_PXMH';'A_PXMC';'A_PYMF';'A_PYMA';'A_PYMK';'A_PYMH';'A_PYMC';'A_PZMF';'A_PZMA';'A_PZMK';'A_PZMH';'A_PZMC';'Angle_3D_Ankle_Dyn';'Angle_3D_Knee_Dyn';'Angle3D_Hip_Dyn';'MeanDyn_XF';'MeanDyn_XA';'MeanDyn_XK';'MeanDyn_XH';'MeanDyn_XC';'MeanDyn_YF';'MeanDyn_YA';'MeanDyn_YK';'MeanDyn_YH';'MeanDyn_YC';'MeanDyn_ZF';'MeanDyn_ZA';'MeanDyn_ZK';'MeanDyn_ZH';'MeanDyn_ZC'
1;1;1;1;1;1;0.00421626984126984;0.436429325396944;0.590148566468230;-0.0491701140873602;0.178220868055931;-0.141908814484225;-2.40396200396924;1.65850585317418;0.851863392859059;-0.0139085813494262;-0.0665578869042633;4.12697557425142;1.50593119085792;-0.462065575396736;0.0645119543676174;0.143429265871930;110.340246210436;58.1267922040702;105.766107428443;1.82530000000001;1.09230000000001;0.664199999999994;0.257899999999992;0.265000000000001;3.73400000000004;1.67800000000000;0.932000000000016;0.143000000000029;0.199000000000012;0.665999999999997;1.48599999999999;0.433999999999998;0.152999999999992;0.180999999999983;-1.38994989830849e-05;-3.35334093953138e-06;-2.11121583411877e-05;5.60047621409844e-06;-1.65434793392530e-05;-8.54209038146724e-05;9.06791011458889e-05;3.07554938240986e-05;2.33146485440590e-06;2.28185921920692e-06;0.000158142765018105;0.000154918398730095;-1.42864229376448e-05;5.15898606081717e-06;1.29470707872412e-05;2431.32106633238;4103.73845233369;-1409.23285633243;3953.48187266679;-3548.55555566623;-41006.6354133355;40466.2742400018;21374.4585300048;-382.314506667298;-1602.44603000387;22720.0935769232;213296.771307692;247581.746000000;506654.293000000;653912.698500000;0.00969809317666460;0.0176428571428571;0.00302643990929707;0.00118843537414972;0.000989387755102023;0.000631931560502907;0.00281746031746052;-0.000236507936508490;0.00126734693877577;0.0161916099773241;0.0129072562358276;0.0254988662131519;0.0103791383219957;0.00239229024943270;0.00119818594104344;0.000588222789115645;0.000370875850340145;-8.41269841269886e-05;5.19841269841226e-05;8.23412698412740e-06;-0.000146683673469383;-0.000195578231292522;-0.000176020408163224;2.04081632652897e-05;-0.000146683673469383;7.82312925170013e-05;0.000151360544217688;1.14795918367688e-05;2.73526077097797e-05;-2.90532879818617e-05;0.132373786848073;0.0612934013605444;0.0341272789115652;0.00862786848073074;-0.00792258503401487;-0.000319047619052813;0.0172451247165516;0.00974126984126218;-0.0181312925170031;-0.000319047619052813;-0.0618167800453550;-0.00592199546484959;-0.0397795918367404;-0.0379603174603185;-0.00740090702947369;3.83158151211782;1.76970181557554;0.798788934087938;0.00602093726379440;0.00276626714177735;0.00180308821941478;0.000433257747543727;-0.000418853255588014;0.000423604362379614;0.00111154302991029;0.000651549508691967;-0.000935536119209400;0.000423604362379614;-0.00334834251160800;-0.000556635352553564;-0.00216898823021302;-0.00190011877766985;-0.000356764928193254
1;1;1;1;2;1;0.0727516511893529;-0.127598240853075;-0.279073848491876;-0.116786702093918;-0.127541232245790;0.0494290929780306;-0.238207006537266;0.221199099654484;0.191332775231729;0.316514034922250;0.581650843857631;3.92826724831500;0.211456262576149;0.160569797336962;-0.0642980250956100;0.0229229116119427;166.883467524952;90.5486473483810;87.5578071817722;1.27730000000001;0.981399999999994;0.571100000000001;0.928200000000004;0.530000000000001;1.53399999999999;1.46300000000002;1.04199999999997;1.05700000000002;1.29800000000000;2.00500000000000;1.76899999999998;0.677999999999997;0.843999999999994;0.794999999999988;0.000112246722288439;2.63607469209376e-05;2.44338498212160e-05;-3.08601509733807e-05;4.62951926897097e-05;9.18752483114802e-05;5.37346046881233e-05;-1.53953118792242e-06;0.000138557806912993;0.000130860150973381;0.000226658720699246;0.000132647993643226;1.64382201032970e-05;-2.75625744934435e-05;-9.03853794199525e-06;-15060.3467723340;-14578.7620693344;-7173.51480066597;3388.15179100087;3586.51605266639;-23665.4063993820;-13088.7412800030;-6149.25882667016;11008.8313833343;16775.4494033257;14385.1705793154;191188.848673077;341932.724000000;647311.507500000;732864.791500000;0.427270171098743;0.319685691609979;-0.00625192743764345;0.0264398412698406;0.0366624036281179;0.355798168498169;0.806280952380949;0.274375510204068;0.278802721088441;0.480817355660213;1.10818878952183;1.99258199794710;0.424478004535162;0.249063265306121;0.0153802721088645;0.0215969812925170;0.0136382653061226;-0.00129064625850384;0.00117426303854884;0.00195490362811794;0.0177363564015351;0.00949447278911614;-0.00325467687074932;0.00521811224489732;0.0177363564015351;0.0477114512471656;0.0337586451247157;0.00639866780045406;0.000707199546484461;-0.00323837868480936;3.79373015873016;1.63696741496597;-0.476918435374121;0.415900045351529;0.393798594104315;1.55307440258155;2.62948571428589;-0.337571882086297;3.04920476190483;1.55307440258155;14.8201716460974;11.1794116431187;2.67110362811792;-0.348096145125089;-1.16002267573636;10.9369440320424;9.47038905720387;2.68247379944657;0.183905960479430;0.0787787279991351;-0.0224777777777764;0.0208535795270517;0.0194394557823132;0.0753566486423631;0.124886621315202;-0.0176030666234813;0.149430839002271;0.0753566486423631;0.714450231716764;0.537298902344817;0.128549832631466;-0.0189053018032806;-0.0569287333980905
1;1;1;1;3;1;0.0232834894189476;1.12083583522025;0.864653586763581;-0.207891119223163;0.602868210612883;0.259917779231273;3.54119690194995;3.54493779297712;1.84759412116432;-0.348274071601907;-0.412765677736445;4.56155997189913;1.67534386172176;-0.689793790769556;-0.367657841248047;-0.781784844624070;123.249353696584;82.0219515061735;96.6350326205567;1.56080000000000;1.07419999999999;0.553600000000003;0.996499999999998;0.461700000000008;3.78500000000003;3.63700000000000;2.10399999999999;1.65499999999997;1.99699999999996;2.15600000000001;2.32800000000000;0.920999999999992;0.734999999999985;1.34999999999999;0.000118596709096554;-9.47428334885626e-06;5.09676084031808e-06;-1.61130083824895e-05;3.57031977646634e-06;7.38383524785274e-05;3.62206354134321e-05;-5.74355790127238e-06;-3.76694608299704e-05;-8.01510917934378e-05;0.000217841250129360;0.000192693780399461;1.00382903860094e-05;1.06074717996473e-05;-2.11631998344195e-05;-42544.5961713338;-52260.4526320003;-58713.9009219999;-54738.0363173336;-58298.1962663342;-228528.535579363;-225252.997271877;-257987.273680000;-294239.416166671;-290675.262906662;-145476.212423077;17121.0706923077;19998.6365000000;305742.164500000;322072.133500000;0.0177738919810349;0.00630310657596368;0.0185197052154198;0.00150124716553290;0.000442108843537456;-0.0310054687376118;-0.0371187868822007;-0.00567709750566876;-0.00818208616780125;-0.0146999741711281;0.0520788972931831;0.0461260770975045;0.0796965986394560;0.0281918367346925;0.0178789115646280;0.00110279195011338;0.000129563492063473;0.000323469387755057;-0.000376615646258491;-0.000371669501133785;0.000309278519099932;-0.00182261624059098;0.000253684807256210;-0.000742913832199543;0.000309278519099932;0.00226851125065411;0.00157689037153327;0.000560941043083907;0.000510345804988543;0.000128684807256196;0.218717369614512;-0.218383310657598;0.0544811791383272;-0.0669943764172343;-0.0892015419501121;-0.493766648217488;-0.806634462538717;-0.442480498866226;-0.150831065759664;-0.493766648217488;0.828622989708700;0.494317704517715;0.763701814058927;0.225620861677993;0.251267573696121;6.60040993527420;1.10482419937111;1.10039603958393;0.0105158946118130;-0.0108690314220927;0.00234022243818187;-0.00304813735017820;-0.00421588381384294;-0.0236957098515191;-0.0393526945151475;-0.0213337652521333;-0.00743785768275694;-0.0236957098515191;0.0413037302833219;0.0251381683320464;0.0379843429435251;0.0113801965230531;0.0124537306986275
1;1;1;1;4;1;0.136251844564683;-2.96487934792375;-1.72701210167472;-0.0400915586476671;1.72333136832853;0.795497619112865;4.36294760245744;3.31616218097884;2.33986387384908;-0.318269991932141;-0.490478611518597;4.33329942572365;0.646907310688107;-1.50840961914895;0.843879838295749;0.0127180150644222;142.396511843692;67.9877885548340;57.5459771486215;5.70050000000000;3.13590000000000;1.23890000000000;4.21070000000000;1.91330000000001;8.55781365022199;7.40557692307687;5.62099999999998;2.07600000000002;1.57300000000004;3.41900000000001;2.97399999999999;3.63500000000002;1.84399999999999;0.840000000000003;-1.93014818914102e-05;-5.21859435528501e-05;4.00541105577078e-05;-0.000235288692123225;-0.000120973990038739;-8.81199061311467e-05;-0.000287585316362293;-0.000300006148927013;-0.000101272827891532;-8.52241283895975e-05;0.000151817007932117;8.90364631371830e-05;-7.19424460431595e-06;-7.95671155383393e-05;-4.66703560228732e-05;-296543.068956603;-259834.103620075;-244929.894736000;-240328.083919834;-259420.086059334;-1407730.81701149;-1415098.19215059;-1382496.69772967;-1473267.58907418;-1440760.17846667;-779227.865640034;-625589.118414120;-524270.601038460;-379926.464499999;-348699.943499999;0.0719950046620258;0.135623932489476;0.00423147392290293;0.0363955553040393;0.0423400907029498;-0.0183867868526212;0.0476006569839054;-0.0252615409890669;0.0286081109366810;0.133652630512977;0.121073050503435;0.567376682622097;0.253161451247156;0.0354439909297220;0.0391517006802655;0.00540749335747444;0.00500810450359272;-0.000956986961451328;0.00178142012749749;0.00302820294784656;-0.000118645524475306;0.000563827193054423;-0.00123549790889954;0.00246870094191504;-0.000118645524475306;-0.0164218498420077;0.000185103136801423;0.00423044217687107;-0.00200793650793685;-0.00164512471655254;1.56030568759743;1.85362572539066;0.227571201814088;-1.21376971730583;-0.122200884353753;-1.54871951053515;-0.970234477085595;-2.29747759314967;0.0420301936159339;-1.54871951053515;-1.52967852214079;-1.85543699625259;0.962176417233275;-0.807865532879318;-0.413935374149370;1.20235404791973;3.96409797475560;1.01126683428596;0.0764168845965609;0.0919115303572246;0.0108364971385394;-0.0587193297582981;-0.00548271245006007;-0.0781471298501247;-0.0459865511349231;-0.113614421253255;0.00274794215610676;-0.0781471298501247;-0.0703787682865767;-0.0915161857429225;0.0481559226865207;-0.0397295108519338;-0.0203763092538450
1;1;0;1;1;0;0.866418650793651;-0.836005570436825;-0.213087529762589;-0.429002762896886;0.556613442460559;0.402248209325151;-0.987059176587650;-1.11161351686475;-0.989679915674358;-0.148054389880770;0.0854139831347567;2.45283526785684;0.671271428571373;0.388704712300466;0.0961936507939640;0.0268209325415967;127.840086614649;73.7272034765347;85.9987639230586;2.16360000000000;1.26810000000000;0.982999999999997;0.636199999999988;0.660899999999998;1.40570000000000;1.27440000000000;1.31330000000000;0.738200000000006;0.396000000000001;1.35799999999998;1.20200000000003;1.00800000000001;0.599999999999994;0.461999999999989;-5.76665509201850e-05;-1.49858623939685e-05;-2.17371893447097e-05;3.27893248673050e-05;2.93913388560941e-05;2.51798204276004e-05;-3.97688377399671e-05;-4.83654943201545e-05;-5.97747904161877e-06;4.21647899201389e-06;5.22347338657670e-05;4.60340294657472e-05;3.78987052929218e-05;1.05163946624345e-05;7.44084528002409e-06;-14305.4850123343;-2270.93837766557;-13288.6146420003;12036.8866593334;6919.32963400036;-32003.1306933325;-32197.2951243338;-24866.2394886677;-2100.61702866771;1345.73485233626;-11030.1005000000;239255.945000000;401884.881000000;564531.362000000;681193.517000000;0.00968991341991338;0.00745625850340131;0.00475571428571432;-0.000574625850340033;-0.000394512471655339;0.00386503607503607;0.0258705895691610;0.0138770748299322;0.00355410430839018;0.00240748299319700;-0.00495848278705423;0.00425555555555604;0.00619659863945561;0.00619659863945561;0.00381859410430905;0.000588222789115645;0.000370875850340145;-8.41269841269886e-05;5.19841269841226e-05;8.23412698412740e-06;-0.000146683673469383;-0.000195578231292522;-0.000176020408163224;2.04081632652897e-05;-0.000146683673469383;-0.000146683673469383;-0.000195578231292522;-0.000176020408163224;2.04081632652897e-05;-0.000146683673469383;0.160021995464850;0.0845668027210896;0.0112526984126989;-0.0172835600907037;-0.0211848752834476;-0.430807052154195;-0.127131224489795;0.0397373469387735;0.00377961451247225;0.0278947845805015;-0.0285140589569146;-0.0202950113378660;0.0128086167800316;0.0128086167800316;0.0161031746031795;2.04589124397270;1.09138455713899;1.58744315781733;0.00825790951301142;0.00441638052046221;0.000548169744088136;-0.000767022999676099;-0.00106586761688808;-0.0231945686210993;-0.00695771514955186;0.00177689234423918;0.000179937371774141;0.00142522405787726;-0.00138678328474239;-0.000972033257747418;0.000623474786739403;0.000623474786739403;0.000802073210236731
1;1;0;1;2;0;0.913492575855391;1.72722821393539;0.724927092661062;0.175959771701415;-0.586282850117271;-0.762938564982875;-2.03879653541391;-1.48703661150879;-0.616716079614122;-0.812746302436210;-0.923447113295097;1.58365044445586;0.0976813565278292;-1.00830879878620;-1.02452363298397;-0.693358017524986;114.862565085794;74.9146247548290;66.8266703650586;5.00350000000000;1.88340000000001;0.812799999999996;1.28110000000000;1.47040000000001;9.03570000000001;5.95130000000000;2.88050000000000;2.13140000000000;2.26819999999999;2.50099999999998;2.16000000000000;1.93099999999998;1.83500000000001;1.25000000000000;0.000462028208184346;0.000149622566547477;9.28635280095352e-05;-0.000109818235995232;-8.97149384187525e-05;-7.28545887961859e-05;-4.59922526817639e-05;1.73967024235196e-05;-0.000110533373063170;-0.000117054032578466;8.58661104489464e-05;8.36809694080255e-05;-0.000111044894715933;-9.46563369090190e-05;-5.99423917361936e-05;114507.190516334;36821.9743606657;23518.9656130000;-27991.5460103344;-18839.4450263325;48666.0225493330;33496.4695080005;26510.1693053318;-13042.5123483341;-20834.4808213322;-32943.3214999999;246389.246500000;392305.439500000;598723.910000000;682538.473500000;0.853397462378891;0.346187346938776;0.364665623582767;-0.0382227891156438;0.00373222222222180;1.31368731395589;1.05720126984127;0.292962086167801;0.0484155102040818;0.0360124716553328;0.490749041434756;0.484734467120179;0.111533560090708;0.111533560090708;0.193114512471628;0.0215969812925170;0.0136382653061226;-0.00129064625850384;0.00117426303854884;0.00195490362811794;0.0177363564015351;0.00949447278911614;-0.00325467687074932;0.00521811224489732;0.0177363564015351;0.0177363564015351;0.00949447278911614;-0.00325467687074932;0.00521811224489732;0.0177363564015351;11.5921921768707;2.64906437641724;3.21015979591846;-0.921222448979617;-0.172787687074829;17.7048967346939;9.61958641723355;2.35736308390016;0.292970068027256;0.336450748299314;8.44730385487529;2.85153718820853;0.783752607709692;0.783752607709692;1.54921814058887;3.75013450256964;1.37286614342037;0.806363626594276;0.561936345966958;0.129622006262823;0.155739941690967;-0.0453541950113392;-0.00853911024727353;0.865327610409243;0.470613994169096;0.116119771083033;0.0142132815030797;0.0166424360220275;0.407947089947091;0.135602634704671;0.0374082712450027;0.0374082712450027;0.0748868372745558
1;1;0;1;3;0;0.955606146841207;-3.87082575904141;-0.149335817242886;-1.02622319003672;1.93163946007839;1.08969093003138;-4.08890946697927;-3.84607898134915;-2.88322530315341;-0.211120907410930;0.306842936779773;1.68194142909019;0.217546132428851;-0.0251796709270025;-0.159937204501887;-0.565793328099829;118.275271119517;72.4217743947888;86.3285742749144;5.13360000000000;0.979799999999997;1.27199999999999;2.45560000000000;1.53930000000000;3.96109999999999;4.17970000000000;3.28420000000000;0.924300000000002;0.871600000000001;2.09700000000001;2.02799999999999;0.587000000000018;0.629999999999996;0.742000000000019;-7.89713339542579e-05;7.00662320190411e-05;1.40691296698749e-05;4.09707130290805e-05;4.27300010348754e-05;1.44520335299600e-05;2.53544447893989e-06;7.27517334161266e-06;2.06819828210698e-05;2.29121390872403e-05;-0.000135465176446238;-0.000157197557694298;-7.45110214219215e-06;-8.79644002897586e-06;-1.91451930042462e-06;-120798.818797197;-54467.6811296666;-77617.6834733337;-29930.0571820001;-44775.7611033326;-123319.442215231;-134167.262413485;-130475.248941333;-80302.0668826653;-77951.2908380012;-196137.109500000;46601.1115000000;151601.920500000;305307.254500000;351769.063000000;0.0146084086557893;0.00942235827664444;0.0376140362811791;0.00865430839002260;0.00418594104308376;0.0329108134104505;0.0637557513080638;0.0312239909297049;0.0125284353741497;0.00597619047619005;0.0152598845598846;0.0665934240362826;0.0304160997732415;0.0304160997732415;0.0349746031746037;0.00110279195011338;0.000129563492063473;0.000323469387755057;-0.000376615646258491;-0.000371669501133785;0.000309278519099932;-0.00182261624059098;0.000253684807256210;-0.000742913832199543;0.000309278519099932;0.000309278519099932;-0.00182261624059098;0.000253684807256210;-0.000742913832199543;0.000309278519099932;0.232647873629749;0.157178820861677;0.296261564625850;-0.134340294784586;-0.0442662585034051;0.414754148328096;0.567790515085038;0.380194920634930;-0.0493239455782357;-0.0106526530612352;0.371058956916097;0.201660317460316;0.265012471655330;0.265012471655330;0.311490476190487;1.15759434022523;0.508732919697323;0.834596963039942;0.0112465137202581;0.00770058309037894;0.0145372961883166;-0.00640981535471362;-0.00210950221358403;0.0201168683729129;0.0274411177865074;0.0187688910484833;-0.00263259907137481;-0.000655447575856280;0.0178742036497137;0.00948094158298233;0.0129736529532448;0.0129736529532448;0.0152636864269522
1;1;0;1;4;0;0.965506640432858;-0.650057589340250;-0.469087594474573;-0.546780611749853;-0.0353010760341448;-0.0392339575436154;-2.34329892375682;-1.92008115455650;-0.986997504529114;-0.00584309852320075;0.290542889962381;0.658440543531896;-1.62679143948029;-1.76287277691748;-0.246989710974788;-0.441517747601239;130.690191186131;66.5192544527521;87.9290952338004;3.31240000000000;1.83000000000000;1.15460000000000;0.288799999999995;0.247000000000000;4.17710000000000;3.22140000000000;1.68050000000001;0.652600000000007;0.582400000000007;2.83300000000000;2.17300000000000;2.32900000000001;0.505000000000024;0.746999999999986;0.000373516571358298;0.000126858513189448;2.82666174752504e-05;-1.25930025210604e-05;-6.08743774211336e-06;-0.000166236241775810;0.000152136752136752;5.31882186558451e-05;1.27159810613049e-05;2.00946934759888e-05;0.000169464428457234;0.000115661317100166;9.34636905860021e-06;2.40423046178436e-05;1.69710385537730e-05;-292441.929587820;-263855.345841668;-267878.925902333;-270601.119749667;-291278.351256667;-401331.145105447;-393789.264853996;-411457.923826666;-330327.881578667;-339586.755259667;-805493.372500000;-627351.538500000;-479535.486500000;-353943.451500000;-277993.447500000;0.00180442525728235;0.0348656235827679;0.0332202947845775;0.00605891156462226;0.00458739229024778;-0.00875380903799696;0.136310564612432;0.0664889115646240;0.00949918367346658;0.00593308390022728;0.0300978354978357;0.223721768707484;0.0306009070294749;0.0306009070294749;0.0223614512471549;0.00540749335747444;0.00500810450359272;-0.000956986961451328;0.00178142012749749;0.00302820294784656;-0.000118645524475306;0.000563827193054423;-0.00123549790889954;0.00246870094191504;-0.000118645524475306;-0.000118645524475306;0.000563827193054423;-0.00123549790889954;0.00246870094191504;-0.000118645524475306;0.996596404151405;0.510389682539707;0.265392630385477;0.0988236281179296;-0.0144165759636982;0.839400053765953;1.15528607122729;0.574589274376428;-0.263444761904810;0.0668772108843329;1.17762426303855;0.669315192743801;0.164612471655041;0.164612471655041;0.214969160997647;1.90174308098884;0.851776235974754;0.723515213521381;0.0520402739361924;0.0267061548428909;0.0132247813411074;0.00496825396825471;-0.000722006262821484;0.0431109464711632;0.0585329251189525;0.0285204081632660;-0.0131567109383459;0.00346513335492819;0.0584257639563762;0.0326085735881673;0.00819187992655860;0.00819187992655860;0.0107710830363845
1;1;1;2;1;0;0.847105471847740;-3.31449381849799;-2.66262484053673;-0.253084201906106;-0.271069139965306;0.0300445850731492;4.09013927303920;4.31057813030640;-0.743879403126357;-1.59371445022640;1.03622988067298;0.747183558023124;-0.0363757053352458;-0.435923273297476;-0.961598378395991;-2.75618879269172;153.109082893079;134.342267128705;52.4398643832737;6.07810000000000;4.48210000000000;1.47460000000000;1.02650000000000;2.46270000000000;12.9500000000000;10.2810000000000;2.25099999999998;2.44800000000004;3.68299999999999;7.37500000000000;6.71299999999999;1.21299999999999;1.69100000000000;3.86100000000002;-3.75330443058047e-05;-0.000112604420006344;0.000306122448979591;0.000331410595326213;-0.000570884001268901;3.40488527016997e-05;0.000140160727503437;0.000425927884107010;-0.000445542984032990;-4.59976736808686e-05;0.000996457650417679;0.000977741355609601;0.000726604631489901;0.000363434492968172;-0.000721000317225336;-29284.5888799996;-12857.7342586669;4983.30986466752;14790.5002646674;-10214.1160946670;-48816.3454599993;4761.24128666749;8002.68804000811;-39558.2493733326;-10637.1468999995;-42616.0595000002;200658.527500000;553448.744500000;664049.228000000;343310.423500000;-0.0567085413561848;0.0143796516393440;-0.00407508196721315;0.00178127049180279;0.0331370696721311;0.00247401266766025;-0.00166106557377065;0.00273053278688509;0.00363504098360723;0.0314252049180330;-0.0127081222056632;0.0291280737704909;0.00787889344261785;0.00663278688524560;0.0142721311475397;-0.000333926741803265;0.00123872950819671;-4.49282786885103e-05;0.000124205942622996;-0.000385924692622927;-0.00608657786885243;-0.00269889856557377;0.00159541495901641;0.000848616803278746;-0.00608657786885243;-0.00406249999999999;-0.00160245901639336;-0.00164164959016389;-0.00114971823770460;-0.00105289446721302;-1.29594241803279;0.0768801639344315;-0.323485594262294;-0.178396946721299;0.688756168032786;0.767017213114759;-0.597415573770503;-0.0986254098360680;-0.0490360655737653;0.767017213114759;-1.11111659836065;-0.692124795081945;-0.0611383196721233;0.0236354508196291;-0.571148770491710;1.90459350869278;0.563002188970870;0.333381308134634;-0.0657985460577675;0.00358618266978950;-0.0158391295862607;-0.00862631733021013;0.0341573185011709;0.0388495316159253;-0.0302632708821239;-0.00470257611241229;-0.00226112412177958;0.0388495316159253;-0.0529192037470723;-0.0322647345823564;-0.00236465651834465;0.00151131928180881;-0.0273906128024934
1;1;1;2;2;0;0.970825335892514;-0.547360320085069;-0.362767521682279;-0.00524504410847015;0.000838268985077662;-0.0410400151492212;-1.65328664935606;-0.245516307678997;0.0938594916361240;-0.0255311140385857;0.266854284672604;-0.245499698382588;-1.71105859524900;0.00530310415362578;0.0447399887285656;-0.162652913108587;166.191141507707;134.383376656901;62.6278872397366;3.30070000000001;1.65519999999999;0.943100000000001;0.392699999999991;0.579199999999993;4.47699999999998;1.66800000000001;0.268000000000029;0.435000000000002;0.884000000000015;4.47100000000000;3.75199999999998;0.443000000000012;0.312999999999988;0.741000000000014;-0.000122150926839969;-1.27454206427552e-05;-6.65240759021597e-06;2.33081057365383e-06;-1.27892947241415e-05;-0.000133267522211254;-1.22847427881973e-05;8.06186245475438e-06;-4.38740813864122e-06;3.96512010529787e-05;-0.000182790391576176;-0.000169902380168916;-8.33607546342082e-06;-1.42042338488546e-05;-1.87561697926941e-05;-33995.6749426669;-30410.4590213334;-39252.9727340006;-44608.1206833327;-47438.0623039998;-303298.590233331;-247421.638853338;-241967.200733333;-242101.560993336;-223720.705933333;-195692.914000000;11931.2939999999;346598.457000000;411781.586500000;229431.546500000;-0.00420085692995529;0.0164417213114754;-0.00304604508196700;-0.00108356557377047;0.00282067622950813;0.0259195976154993;0.00577459016393399;0.00203586065573926;0.00458606557376942;0.0533389344262294;-0.0156470193740687;0.0321245901639348;0.00137459016393464;0.00463442622950945;0.00406270491803129;0.00193073770491803;0.000599884733606559;-0.000763370901639346;-0.000380955430327845;-0.000429162397540986;-0.00289741290983606;-0.000892418032786863;-0.000188396516393491;0.000492443647541169;-0.00289741290983606;-0.0126661116803279;-0.00934784836065575;-0.000932248975410055;-0.000528304303278826;-0.00120081967213109;-0.110089713114754;0.0595293852459006;-0.0810416803278676;-0.0702388934426160;0.0630657581967213;0.209616188524589;-0.172679918032782;-0.0652659836065540;0.0272840163934450;0.209616188524589;-0.355067418032793;-0.414999180327862;0.0260387295082042;0.0734954918032716;-0.0824112704917924;1.39379340118396;1.29317080626120;0.716067498317770;-0.00598736338797813;0.00280057572209206;-0.00398870999219355;-0.00348608508977324;0.00309214480874317;0.0109401834504293;-0.00847823965651811;-0.00328259172521453;0.00130893832943023;0.0109401834504293;-0.0167673692427794;-0.0201056791569083;0.00146370023419237;0.00378991022638524;-0.00408050351288002
